Name,OsmId,Kind,HeightCm,BaseCm,HeightSource,CentroidX,CentroidY,BoxX,BoxY,BoxLengthCm,BoxWidthCm,YawDeg,AreaM2,NumVerts,Outline
B00138,265302072,yes,4600.0,0.0,tag:height,8670.6,-14293.9,8938.4,-14293.4,5981.0,1890.9,29.02,936.45,8,5864.7 -14917.2|11095.0 -12017.1|11778.0 -13247.5|9705.8 -14396.9|9520.4 -14063.3|8713.1 -14510.9|9132.8 -15266.7|6782.0 -16570.7
B00139,265302076,library,1200.0,0.0,estimate:default,17934.2,10672.4,17867.6,10864.4,11382.3,8670.0,209.1,9191.31,20,23143.9 12923.9|24840.6 9867.7|23885.6 9329.8|23918.9 9271.5|23017.2 8770.7|22980.6 8829.8|16365.3 5180.9|16413.1 5093.9|15506.9 4590.6|15469.2 4660.7|14969.4 4368.5|11098.3 11341.5|14704.1 13360.6|14406.5 13899.4|16833.0 15249.7|17152.8 14688.9|20995.1 16820.3|22584.2 13949.1|22645.3 13982.8|23204.9 12957.6
B00140,265302078,yes,4740.0,0.0,tag:height,-9040.3,-17693.0,-9040.3,-17693.0,3060.1,2680.4,298.51,820.17,4,-10948.1 -16988.3|-8592.8 -15708.8|-7132.5 -18397.7|-9487.8 -19677.2
B00141,265302083,yes,6170.0,0.0,tag:height,-6212.8,-6587.8,-6211.6,-6588.7,2840.4,2707.4,299.02,768.13,4,-8084.4 -6003.6|-5716.8 -4690.4|-4342.0 -7169.0|-6706.2 -8487.3
B00142,265302086,yes,2320.0,0.0,tag:height,2835.3,-16080.8,2835.4,-16080.5,2680.2,1262.8,28.97,338.23,4,1357.2 -16177.3|3702.5 -14880.1|4313.3 -15983.8|1969.1 -17281.9
B00143,265302087,yes,5220.0,0.0,tag:height,18636.5,-11278.7,18635.5,-11278.4,3020.7,1805.8,118.95,544.91,4,17117.2 -10392.2|18695.2 -9520.7|20156.6 -12163.0|18576.4 -13037.1
B00144,265302089,yes,4640.0,0.0,tag:height,-3560.7,-4392.4,-3560.9,-4392.4,2556.3,1489.1,28.95,380.54,4,-5039.4 -4360.2|-2802.9 -3122.1|-2082.2 -4425.2|-4318.7 -5662.4
B00145,265302090,yes,1200.0,0.0,estimate:default,15461.4,-13031.0,15460.9,-13031.6,3020.7,3004.7,118.89,907.16,4,13415.9 -12435.1|16046.7 -10983.4|17505.9 -13628.3|14877.4 -15078.3
B00146,265302091,yes,6420.0,0.0,tag:height,-211.9,-17398.4,-211.9,-17398.4,3124.4,2621.5,299.08,818.94,4,-2116.4 -16670.5|174.5 -15396.1|1692.6 -18126.4|-598.3 -19400.8
B00147,265302098,yes,2660.0,0.0,tag:height,11725.7,-6542.7,11725.7,-6542.7,2751.3,1339.1,208.91,367.78,4,13249.3 -6466.2|10845.1 -7793.8|10202.1 -6619.1|12606.3 -5291.6
B00148,265302101,yes,4930.0,0.0,tag:height,-7477.8,-13532.6,-7478.0,-13532.5,2570.5,1550.8,28.5,398.5,4,-8977.1 -13464.9|-6718.4 -12237.8|-5978.8 -13600.8|-8237.5 -14827.1
B00149,265302103,yes,4340.0,0.0,tag:height,11127.6,-5421.9,11108.6,-5423.6,2749.8,1216.8,28.91,329.31,5,12606.3 -5291.6|10202.1 -6619.1|9732.4 -5775.5|9942.2 -5372.7|12014.4 -4229.2
B00150,265302111,yes,2050.0,0.0,tag:height,11991.6,-15624.4,11991.4,-15624.2,1919.7,1831.8,29.0,351.52,4,10708.6 -15288.7|12386.6 -14358.0|13275.0 -15960.0|11595.9 -16890.6
B00151,265302116,yes,4900.0,0.0,tag:height,4009.4,-8836.6,4012.0,-8837.3,2666.5,1231.4,29.03,327.03,4,2547.5 -8945.8|4879.5 -7652.8|5471.4 -8722.0|3145.0 -10022.5
B00152,265302122,yes,1600.0,0.0,tag:height,1552.7,-21529.2,1556.1,-21517.5,1708.0,1681.3,209.08,283.76,6,1817.1 -20613.4|1980.3 -20523.0|2711.0 -21837.1|1218.6 -22666.4|401.2 -21197.8|1731.5 -20458.0
B00153,265302141,yes,7130.0,0.0,tag:height,-5202.1,-17889.5,-5204.7,-17888.8,3217.1,2599.8,118.52,834.71,4,-7106.9 -17097.1|-4830.5 -15854.8|-3294.6 -18681.3|-5578.8 -19922.8
B00154,265302149,yes,5190.0,0.0,tag:height,-6822.5,-14839.5,-6821.8,-14841.8,2666.5,1376.7,208.52,365.36,4,-8321.9 -14873.5|-5978.8 -13600.8|-5325.8 -14802.5|-7657.8 -16079.5
B00155,265302157,yes,4630.0,0.0,tag:height,-61.1,-10802.8,-74.3,-10844.1,2702.3,1888.2,208.96,492.98,6,-1713.4 -10672.0|650.8 -9363.8|1564.8 -11015.7|-18.8 -11892.3|-112.1 -11723.4|-892.7 -12155.8
B00156,265302158,yes,7640.0,0.0,tag:height,7368.3,-8321.0,7361.2,-8340.7,2964.7,2942.1,209.0,862.31,6,5351.5 -7772.7|7944.5 -6335.4|9370.4 -8907.7|6927.3 -10263.1|6649.7 -9761.5|6499.8 -9844.3
B00157,265302163,yes,6500.0,0.0,tag:height,2672.5,-6407.8,2672.3,-6407.8,2728.8,1961.0,209.0,534.97,4,1003.9 -6212.2|3390.3 -4888.8|4340.9 -6604.0|1954.5 -7926.5
B00158,265302164,yes,7090.0,0.0,tag:height,4882.3,-10110.3,4882.3,-10110.3,2959.8,1848.2,209.19,545.9,4,6619.7 -10198.1|4041.2 -11638.9|3145.0 -10022.5|5723.5 -8581.8
B00159,265302177,apartments,1300.0,0.0,tag:height,-3811.8,-23346.9,-4030.4,-23288.3,5957.4,3516.2,28.51,1887.16,8,-4607.1 -21600.8|-2239.6 -20345.0|-573.8 -23411.3|-5808.5 -26254.9|-7142.3 -23800.0|-4797.0 -22526.4|-5052.4 -22056.0|-4541.6 -21779.0
B00160,265424275,hotel,8690.0,0.0,tag:height,5490.4,20445.3,5459.5,20428.1,1625.8,1566.5,28.48,242.7,8,4523.3 20811.0|5800.4 21504.2|6546.6 20126.9|5267.3 19432.7|5097.4 19746.0|4948.6 19665.8|4532.2 20432.6|4684.3 20514.5
B00161,265424278,yes,4630.0,0.0,tag:height,-13275.8,12708.7,-13275.8,12708.7,2879.6,1565.8,209.01,450.73,4,-14913.8 12695.7|-12396.3 14091.6|-11637.8 12721.8|-14155.3 11325.8
B00162,265424279,yes,2850.0,0.0,tag:height,-16570.6,12006.6,-16570.5,12006.8,2595.3,752.3,209.03,194.96,4,-17887.7 11705.9|-15617.8 12964.2|-15253.6 12308.0|-17521.2 11048.9
